,lat,lon
0,28.500181,77.1842797
1,28.5071089,77.1764903
2,28.543607,77.2277157
3,28.510203,77.1676261
4,28.5161687,77.227032
5,28.5217581,77.1667456
6,28.5248224,77.1853354
7,28.5262695,77.1561648
8,28.5403461,77.1847884
9,28.5464606,77.124875
10,28.5480622,77.2929511
11,28.5657051,77.1964155
12,28.5672852,77.1656027
13,28.5559586,77.175334
14,28.5629027,77.2685753
15,28.5637249,77.0574223
16,28.5807169,77.2585812
17,28.5875101,77.1692741
18,28.5968399,77.2253633
19,28.5857538,77.0883753
20,28.6021076,77.1873163
21,28.6119469,77.2887599
22,28.6126203,76.9849896
23,28.6337417,77.2162906
24,28.6278114,77.3079646
25,28.6265266,77.1609858
26,28.6312824,77.2791253
27,28.6333173,77.0899456
28,28.6348507,77.3035496
29,28.646576,77.1671972
30,28.6524641,77.2337052
31,28.6482807,77.0963406
32,28.6506289,77.299216
33,28.6510864,77.1574434
34,28.6643395,77.2145982
35,28.6673419,77.2303462
36,28.6712618,77.1342091
37,28.6731902,77.2002904
38,28.689878,77.20989
39,28.6841113,77.2913278
40,28.6856563,77.1317974
41,28.6884528,77.1221833
42,28.7002715,77.2271739
43,28.7373021,77.1249013
44,28.7988933,77.0352522
